Unit,Topic,Microtopic,MD File Name,Status,GitHub URL
Unit 7: Data Structures and Algorithms,Graph Algorithms,Depth-First Search,graph_algorithms__depth-first_search.md,Pending,
Unit 7: Data Structures and Algorithms,Graph Algorithms,Shortest Path Algorithms,graph_algorithms__shortest_path_algorithms.md,Pending,
Unit 7: Data Structures and Algorithms,Graph Algorithms,Maximum Flow,graph_algorithms__maximum_flow.md,Pending,
Unit 7: Data Structures and Algorithms,Graph Algorithms,Minimum Spanning Trees,graph_algorithms__minimum_spanning_trees.md,Pending,
Unit 7: Data Structures and Algorithms,Complexity Theory,P Class Problems,complexity_theory__p_class_problems.md,Pending,
Unit 7: Data Structures and Algorithms,Complexity Theory,NP Class Problems,complexity_theory__np_class_problems.md,Pending,
Unit 7: Data Structures and Algorithms,Complexity Theory,NP-Completeness,complexity_theory__np-completeness.md,Pending,
Unit 7: Data Structures and Algorithms,Complexity Theory,Reducibility,complexity_theory__reducibility.md,Pending,
Unit 7: Data Structures and Algorithms,Selected Topics,Number Theoretic Algorithms,selected_topics__number_theoretic_algorithms.md,Pending,
Unit 7: Data Structures and Algorithms,Selected Topics,Polynomial Arithmetic,selected_topics__polynomial_arithmetic.md,Pending,
Unit 7: Data Structures and Algorithms,Selected Topics,Fast Fourier Transform,selected_topics__fast_fourier_transform.md,Pending,
Unit 7: Data Structures and Algorithms,Selected Topics,String Matching Algorithms,selected_topics__string_matching_algorithms.md,Pending,
Unit 7: Data Structures and Algorithms,Advanced Algorithms,Parallel Sorting Algorithms,advanced_algorithms__parallel_sorting_algorithms.md,Pending,
Unit 7: Data Structures and Algorithms,Advanced Algorithms,Parallel Searching Algorithms,advanced_algorithms__parallel_searching_algorithms.md,Pending,
Unit 7: Data Structures and Algorithms,Advanced Algorithms,Parallel Merging Algorithms,advanced_algorithms__parallel_merging_algorithms.md,Pending,
Unit 7: Data Structures and Algorithms,Advanced Algorithms,Approximation Algorithms,advanced_algorithms__approximation_algorithms.md,Pending,
Unit 7: Data Structures and Algorithms,Advanced Algorithms,Randomized Algorithms,advanced_algorithms__randomized_algorithms.md,Pending,
Unit 8: Theory of Computation and Compilers,Theory of Computation,Formal Language,theory_of_computation__formal_language.md,Pending,
Unit 8: Theory of Computation and Compilers,Theory of Computation,Non-Computational Problems,theory_of_computation__non-computational_problems.md,Pending,
Unit 8: Theory of Computation and Compilers,Theory of Computation,Diagonal Argument,theory_of_computation__diagonal_argument.md,Pending,
Unit 8: Theory of Computation and Compilers,Theory of Computation,Russell’s Paradox,theory_of_computation__russell’s_paradox.md,Pending,
Unit 8: Theory of Computation and Compilers,Regular Language Models,Deterministic Finite Automaton (DFA),regular_language_models__deterministic_finite_automaton_(dfa).md,Pending,
Unit 8: Theory of Computation and Compilers,Regular Language Models,Non-Deterministic Finite Automaton (NDFA),regular_language_models__non-deterministic_finite_automaton_(ndfa).md,Pending,
Unit 8: Theory of Computation and Compilers,Regular Language Models,Equivalence of DFA and NDFA,regular_language_models__equivalence_of_dfa_and_ndfa.md,Pending,
Unit 8: Theory of Computation and Compilers,Regular Language Models,Regular Languages,regular_language_models__regular_languages.md,Pending,
Unit 8: Theory of Computation and Compilers,Regular Language Models,Regular Grammars,regular_language_models__regular_grammars.md,Pending,
Unit 8: Theory of Computation and Compilers,Regular Language Models,Regular Expressions,regular_language_models__regular_expressions.md,Pending,
Unit 8: Theory of Computation and Compilers,Regular Language Models,Properties of Regular Language,regular_language_models__properties_of_regular_language.md,Pending,
Unit 8: Theory of Computation and Compilers,Regular Language Models,Pumping Lemma,regular_language_models__pumping_lemma.md,Pending,
Unit 8: Theory of Computation and Compilers,Regular Language Models,Non-Regular Languages,regular_language_models__non-regular_languages.md,Pending,
Unit 8: Theory of Computation and Compilers,Regular Language Models,Lexical Analysis,regular_language_models__lexical_analysis.md,Pending,
Unit 8: Theory of Computation and Compilers,Context Free Language,Pushdown Automaton (PDA),context_free_language__pushdown_automaton_(pda).md,Pending,
Unit 8: Theory of Computation and Compilers,Context Free Language,Non-Deterministic PDA (NPDA),context_free_language__non-deterministic_pda_(npda).md,Pending,
Unit 8: Theory of Computation and Compilers,Context Free Language,Context Free Grammar,context_free_language__context_free_grammar.md,Pending,
Unit 8: Theory of Computation and Compilers,Context Free Language,Chomsky Normal Form,context_free_language__chomsky_normal_form.md,Pending,
Unit 8: Theory of Computation and Compilers,Context Free Language,Greibach Normal Form,context_free_language__greibach_normal_form.md,Pending,
Unit 8: Theory of Computation and Compilers,Context Free Language,Grammar Ambiguity,context_free_language__grammar_ambiguity.md,Pending,
Unit 8: Theory of Computation and Compilers,Context Free Language,Parse Tree and Derivation Tree,context_free_language__parse_tree_and_derivation_tree.md,Pending,
Unit 8: Theory of Computation and Compilers,Context Free Language,Equivalence of PDA and CFG,context_free_language__equivalence_of_pda_and_cfg.md,Pending,
Unit 8: Theory of Computation and Compilers,Context Free Language,Properties of Context Free Languages,context_free_language__properties_of_context_free_languages.md,Pending,
Unit 8: Theory of Computation and Compilers,Turing Machines,Standard Turing Machine,turing_machines__standard_turing_machine.md,Pending,
Unit 8: Theory of Computation and Compilers,Turing Machines,Variants of Turing Machines,turing_machines__variants_of_turing_machines.md,Pending,
Unit 8: Theory of Computation and Compilers,Turing Machines,Universal Turing Machine,turing_machines__universal_turing_machine.md,Pending,
Unit 8: Theory of Computation and Compilers,Turing Machines,Models of Computation,turing_machines__models_of_computation.md,Pending,
Unit 8: Theory of Computation and Compilers,Turing Machines,Church-Turing Thesis,turing_machines__church-turing_thesis.md,Pending,
Unit 8: Theory of Computation and Compilers,Turing Machines,Recursive Languages,turing_machines__recursive_languages.md,Pending,
Unit 8: Theory of Computation and Compilers,Turing Machines,Recursively Enumerable Languages,turing_machines__recursively_enumerable_languages.md,Pending,
Unit 8: Theory of Computation and Compilers,Turing Machines,Context-Sensitive Languages,turing_machines__context-sensitive_languages.md,Pending,
Unit 8: Theory of Computation and Compilers,Turing Machines,Unrestricted Grammars,turing_machines__unrestricted_grammars.md,Pending,
Unit 8: Theory of Computation and Compilers,Turing Machines,Chomsky Hierarchy,turing_machines__chomsky_hierarchy.md,Pending,
Unit 8: Theory of Computation and Compilers,Turing Machines,TM Construction for Problems,turing_machines__tm_construction_for_problems.md,Pending,
Unit 8: Theory of Computation and Compilers,Unsolvable Problems,Unsolvable Problems,unsolvable_problems__unsolvable_problems.md,Pending,
Unit 8: Theory of Computation and Compilers,Unsolvable Problems,Halting Problem,unsolvable_problems__halting_problem.md,Pending,
Unit 8: Theory of Computation and Compilers,Unsolvable Problems,Post Correspondence Problem,unsolvable_problems__post_correspondence_problem.md,Pending,
Unit 8: Theory of Computation and Compilers,Unsolvable Problems,Unsolvable Problems for CFLs,unsolvable_problems__unsolvable_problems_for_cfls.md,Pending,
Unit 8: Theory of Computation and Compilers,Unsolvable Problems,Complexity Classification,unsolvable_problems__complexity_classification.md,Pending,
Unit 8: Theory of Computation and Compilers,Unsolvable Problems,Tractable vs Intractable Problems,unsolvable_problems__tractable_vs_intractable_problems.md,Pending,
Unit 8: Theory of Computation and Compilers,Syntax Analysis,Associativity,syntax_analysis__associativity.md,Pending,
Unit 8: Theory of Computation and Compilers,Syntax Analysis,Precedence,syntax_analysis__precedence.md,Pending,
Unit 8: Theory of Computation and Compilers,Syntax Analysis,Grammar Transformations,syntax_analysis__grammar_transformations.md,Pending,
Unit 8: Theory of Computation and Compilers,Syntax Analysis,Top-Down Parsing,syntax_analysis__top-down_parsing.md,Pending,
Unit 8: Theory of Computation and Compilers,Syntax Analysis,Recursive Descent Parsing,syntax_analysis__recursive_descent_parsing.md,Pending,
Unit 8: Theory of Computation and Compilers,Syntax Analysis,Predictive Parsing,syntax_analysis__predictive_parsing.md,Pending,
Unit 8: Theory of Computation and Compilers,Syntax Analysis,LL(1) Parsing,syntax_analysis__ll(1)_parsing.md,Pending,
Unit 8: Theory of Computation and Compilers,Syntax Analysis,Bottom-Up Parsing,syntax_analysis__bottom-up_parsing.md,Pending,
Unit 8: Theory of Computation and Compilers,Syntax Analysis,LR Parser,syntax_analysis__lr_parser.md,Pending,
Unit 8: Theory of Computation and Compilers,Syntax Analysis,LALR(1) Parser,syntax_analysis__lalr(1)_parser.md,Pending,
Unit 8: Theory of Computation and Compilers,Semantic Analysis,Attribute Grammar,semantic_analysis__attribute_grammar.md,Pending,
Unit 8: Theory of Computation and Compilers,Semantic Analysis,Syntax Directed Definitions,semantic_analysis__syntax_directed_definitions.md,Pending,
Unit 8: Theory of Computation and Compilers,Semantic Analysis,Inherited and Synthesized Attributes,semantic_analysis__inherited_and_synthesized_attributes.md,Pending,
Unit 8: Theory of Computation and Compilers,Semantic Analysis,Dependency Graph,semantic_analysis__dependency_graph.md,Pending,
Unit 8: Theory of Computation and Compilers,Semantic Analysis,Evaluation Order,semantic_analysis__evaluation_order.md,Pending,
Unit 8: Theory of Computation and Compilers,Semantic Analysis,S-attributed and L-attributed Definitions,semantic_analysis__s-attributed_and_l-attributed_definitions.md,Pending,
Unit 8: Theory of Computation and Compilers,Semantic Analysis,Type Checking,semantic_analysis__type_checking.md,Pending,
Unit 8: Theory of Computation and Compilers,Run Time System,Storage Organization,run_time_system__storage_organization.md,Pending,
Unit 8: Theory of Computation and Compilers,Run Time System,Activation Tree,run_time_system__activation_tree.md,Pending,
Unit 8: Theory of Computation and Compilers,Run Time System,Activation Record,run_time_system__activation_record.md,Pending,
Unit 8: Theory of Computation and Compilers,Run Time System,Stack Allocation,run_time_system__stack_allocation.md,Pending,
Unit 8: Theory of Computation and Compilers,Run Time System,Parameter Passing Mechanisms,run_time_system__parameter_passing_mechanisms.md,Pending,
Unit 8: Theory of Computation and Compilers,Run Time System,Symbol Table,run_time_system__symbol_table.md,Pending,
Unit 8: Theory of Computation and Compilers,Intermediate Code,Intermediate Representations,intermediate_code__intermediate_representations.md,Pending,
Unit 8: Theory of Computation and Compilers,Intermediate Code,Translation of Declarations,intermediate_code__translation_of_declarations.md,Pending,
Unit 8: Theory of Computation and Compilers,Intermediate Code,Translation of Assignments,intermediate_code__translation_of_assignments.md,Pending,
Unit 8: Theory of Computation and Compilers,Intermediate Code,Translation of Control Flow,intermediate_code__translation_of_control_flow.md,Pending,
Unit 8: Theory of Computation and Compilers,Intermediate Code,Translation of Boolean Expressions,intermediate_code__translation_of_boolean_expressions.md,Pending,
Unit 8: Theory of Computation and Compilers,Intermediate Code,Translation of Procedure Calls,intermediate_code__translation_of_procedure_calls.md,Pending,
Unit 8: Theory of Computation and Compilers,Code Generation,Control-flow Analysis,code_generation__control-flow_analysis.md,Pending,
Unit 8: Theory of Computation and Compilers,Code Generation,Data-flow Analysis,code_generation__data-flow_analysis.md,Pending,
Unit 8: Theory of Computation and Compilers,Code Generation,Local Optimization,code_generation__local_optimization.md,Pending,
Unit 8: Theory of Computation and Compilers,Code Generation,Global Optimization,code_generation__global_optimization.md,Pending,
Unit 8: Theory of Computation and Compilers,Code Generation,Loop Optimization,code_generation__loop_optimization.md,Pending,
Unit 8: Theory of Computation and Compilers,Code Generation,Peephole Optimization,code_generation__peephole_optimization.md,Pending,
Unit 8: Theory of Computation and Compilers,Code Generation,Instruction Scheduling,code_generation__instruction_scheduling.md,Pending,
Unit 9: Data Communication and Computer Networks,Data Communication,Components of Data Communication System,data_communication__components_of_data_communication_system.md,Pending,
Unit 9: Data Communication and Computer Networks,Data Communication,Communication Modes,data_communication__communication_modes.md,Pending,
Unit 9: Data Communication and Computer Networks,Data Communication,Analog and Digital Signals,data_communication__analog_and_digital_signals.md,Pending,
Unit 9: Data Communication and Computer Networks,Data Communication,Noiseless and Noisy Channels,data_communication__noiseless_and_noisy_channels.md,Pending,
Unit 9: Data Communication and Computer Networks,Data Communication,"Bandwidth, Throughput and Latency","data_communication__bandwidth,_throughput_and_latency.md",Pending,
Unit 9: Data Communication and Computer Networks,Data Communication,Digital and Analog Transmission,data_communication__digital_and_analog_transmission.md,Pending,
Unit 9: Data Communication and Computer Networks,Data Communication,Data Encoding Techniques,data_communication__data_encoding_techniques.md,Pending,
Unit 9: Data Communication and Computer Networks,Data Communication,Modulation Techniques,data_communication__modulation_techniques.md,Pending,
Unit 9: Data Communication and Computer Networks,Data Communication,Broadband vs Baseband,data_communication__broadband_vs_baseband.md,Pending,
Unit 9: Data Communication and Computer Networks,Data Communication,Multiplexing Techniques,data_communication__multiplexing_techniques.md,Pending,
Unit 9: Data Communication and Computer Networks,Data Communication,Transmission Media,data_communication__transmission_media.md,Pending,
Unit 9: Data Communication and Computer Networks,Data Communication,Transmission Errors,data_communication__transmission_errors.md,Pending,
Unit 9: Data Communication and Computer Networks,Data Communication,Error Detection and Correction,data_communication__error_detection_and_correction.md,Pending,
Unit 9: Data Communication and Computer Networks,Computer Networks,Network Topologies,computer_networks__network_topologies.md,Pending,
Unit 9: Data Communication and Computer Networks,Computer Networks,Local Area Networks (LAN),computer_networks__local_area_networks_(lan).md,Pending,
Unit 9: Data Communication and Computer Networks,Computer Networks,Metropolitan Area Networks (MAN),computer_networks__metropolitan_area_networks_(man).md,Pending,
Unit 9: Data Communication and Computer Networks,Computer Networks,Wide Area Networks (WAN),computer_networks__wide_area_networks_(wan).md,Pending,
Unit 9: Data Communication and Computer Networks,Computer Networks,Wireless Networks,computer_networks__wireless_networks.md,Pending,
Unit 9: Data Communication and Computer Networks,Computer Networks,Internet Basics,computer_networks__internet_basics.md,Pending,
Unit 9: Data Communication and Computer Networks,Network Models,Layered Architecture,network_models__layered_architecture.md,Pending,
Unit 9: Data Communication and Computer Networks,Network Models,OSI Model,network_models__osi_model.md,Pending,
Unit 9: Data Communication and Computer Networks,Network Models,TCP/IP Protocol Suite,network_models__tcp/ip_protocol_suite.md,Pending,
Unit 9: Data Communication and Computer Networks,Network Models,Addressing Schemes,network_models__addressing_schemes.md,Pending,
Unit 9: Data Communication and Computer Networks,Network Models,Switching Techniques,network_models__switching_techniques.md,Pending,
Unit 9: Data Communication and Computer Networks,OSI/TCP Functions,Framing,osi/tcp_functions__framing.md,Pending,
Unit 9: Data Communication and Computer Networks,OSI/TCP Functions,Error Detection,osi/tcp_functions__error_detection.md,Pending,
Unit 9: Data Communication and Computer Networks,OSI/TCP Functions,Flow Control,osi/tcp_functions__flow_control.md,Pending,
Unit 9: Data Communication and Computer Networks,OSI/TCP Functions,Sliding Window Protocol,osi/tcp_functions__sliding_window_protocol.md,Pending,
Unit 9: Data Communication and Computer Networks,OSI/TCP Functions,HDLC,osi/tcp_functions__hdlc.md,Pending,
Unit 9: Data Communication and Computer Networks,OSI/TCP Functions,Multiple Access Techniques,osi/tcp_functions__multiple_access_techniques.md,Pending,
Unit 9: Data Communication and Computer Networks,OSI/TCP Functions,FDMA,osi/tcp_functions__fdma.md,Pending,
Unit 9: Data Communication and Computer Networks,OSI/TCP Functions,TDMA,osi/tcp_functions__tdma.md,Pending,
Unit 9: Data Communication and Computer Networks,OSI/TCP Functions,CDMA,osi/tcp_functions__cdma.md,Pending,
Unit 9: Data Communication and Computer Networks,OSI/TCP Functions,CSMA/CD,osi/tcp_functions__csma/cd.md,Pending,
Unit 9: Data Communication and Computer Networks,OSI/TCP Functions,CSMA/CA,osi/tcp_functions__csma/ca.md,Pending,
Unit 9: Data Communication and Computer Networks,OSI/TCP Functions,Reservation,osi/tcp_functions__reservation.md,Pending,
Unit 9: Data Communication and Computer Networks,OSI/TCP Functions,Polling,osi/tcp_functions__polling.md,Pending,
Unit 9: Data Communication and Computer Networks,OSI/TCP Functions,Token Passing,osi/tcp_functions__token_passing.md,Pending,
Unit 9: Data Communication and Computer Networks,OSI/TCP Functions,Network Devices,osi/tcp_functions__network_devices.md,Pending,
Unit 9: Data Communication and Computer Networks,OSI/TCP Functions,Backbone Networks,osi/tcp_functions__backbone_networks.md,Pending,
Unit 9: Data Communication and Computer Networks,OSI/TCP Functions,Virtual LANs,osi/tcp_functions__virtual_lans.md,Pending,
Unit 9: Data Communication and Computer Networks,IPv4/IPv6,IPv4 Address Structure,ipv4/ipv6__ipv4_address_structure.md,Pending,
Unit 9: Data Communication and Computer Networks,IPv4/IPv6,Classful and Classless Addressing,ipv4/ipv6__classful_and_classless_addressing.md,Pending,
Unit 9: Data Communication and Computer Networks,IPv4/IPv6,Datagram Structure,ipv4/ipv6__datagram_structure.md,Pending,
Unit 9: Data Communication and Computer Networks,IPv4/IPv6,Fragmentation and Checksum,ipv4/ipv6__fragmentation_and_checksum.md,Pending,
Unit 9: Data Communication and Computer Networks,IPv4/IPv6,IPv6 Packet Format,ipv4/ipv6__ipv6_packet_format.md,Pending,
Unit 9: Data Communication and Computer Networks,IPv4/IPv6,ARP Protocol,ipv4/ipv6__arp_protocol.md,Pending,
Unit 9: Data Communication and Computer Networks,IPv4/IPv6,Network Layer Delivery,ipv4/ipv6__network_layer_delivery.md,Pending,
Unit 9: Data Communication and Computer Networks,IPv4/IPv6,Routing Algorithms,ipv4/ipv6__routing_algorithms.md,Pending,
Unit 9: Data Communication and Computer Networks,WWW,URL,www__url.md,Pending,
Unit 9: Data Communication and Computer Networks,WWW,DNS,www__dns.md,Pending,
Unit 9: Data Communication and Computer Networks,WWW,Name Resolution,www__name_resolution.md,Pending,
Unit 9: Data Communication and Computer Networks,WWW,Email Architecture,www__email_architecture.md,Pending,
Unit 9: Data Communication and Computer Networks,WWW,SMTP,www__smtp.md,Pending,
Unit 9: Data Communication and Computer Networks,WWW,POP,www__pop.md,Pending,
Unit 9: Data Communication and Computer Networks,WWW,IMAP,www__imap.md,Pending,
Unit 9: Data Communication and Computer Networks,WWW,TELNET,www__telnet.md,Pending,
Unit 9: Data Communication and Computer Networks,WWW,FTP,www__ftp.md,Pending,
Unit 9: Data Communication and Computer Networks,Network Security,Malwares,network_security__malwares.md,Pending,
Unit 9: Data Communication and Computer Networks,Network Security,Cryptography,network_security__cryptography.md,Pending,
Unit 9: Data Communication and Computer Networks,Network Security,Steganography,network_security__steganography.md,Pending,
Unit 9: Data Communication and Computer Networks,Network Security,Secret-Key Algorithms,network_security__secret-key_algorithms.md,Pending,
Unit 9: Data Communication and Computer Networks,Network Security,Public-Key Algorithms,network_security__public-key_algorithms.md,Pending,
Unit 9: Data Communication and Computer Networks,Network Security,Digital Signature,network_security__digital_signature.md,Pending,
Unit 9: Data Communication and Computer Networks,Network Security,VPNs,network_security__vpns.md,Pending,
Unit 9: Data Communication and Computer Networks,Network Security,Firewalls,network_security__firewalls.md,Pending,
Unit 9: Data Communication and Computer Networks,Mobile Technology,GSM Architecture,mobile_technology__gsm_architecture.md,Pending,
Unit 9: Data Communication and Computer Networks,Mobile Technology,CDMA,mobile_technology__cdma.md,Pending,
Unit 9: Data Communication and Computer Networks,Mobile Technology,Mobile Services,mobile_technology__mobile_services.md,Pending,
Unit 9: Data Communication and Computer Networks,Mobile Technology,Middleware and Gateway,mobile_technology__middleware_and_gateway.md,Pending,
Unit 9: Data Communication and Computer Networks,Mobile Technology,Mobile IP,mobile_technology__mobile_ip.md,Pending,
Unit 9: Data Communication and Computer Networks,Mobile Technology,Mobile Protocols,mobile_technology__mobile_protocols.md,Pending,
Unit 9: Data Communication and Computer Networks,Mobile Technology,Communication Satellites,mobile_technology__communication_satellites.md,Pending,
Unit 9: Data Communication and Computer Networks,Mobile Technology,Wireless Networks,mobile_technology__wireless_networks.md,Pending,
Unit 9: Data Communication and Computer Networks,Mobile Technology,Cellular Topology,mobile_technology__cellular_topology.md,Pending,
Unit 9: Data Communication and Computer Networks,Mobile Technology,Mobile Adhoc Networks (MANETs),mobile_technology__mobile_adhoc_networks_(manets).md,Pending,
Unit 9: Data Communication and Computer Networks,Mobile Technology,Wireless Transmission,mobile_technology__wireless_transmission.md,Pending,
Unit 9: Data Communication and Computer Networks,Mobile Technology,Wireless LANs,mobile_technology__wireless_lans.md,Pending,
Unit 9: Data Communication and Computer Networks,Mobile Technology,Geolocation Systems,mobile_technology__geolocation_systems.md,Pending,
Unit 9: Data Communication and Computer Networks,Mobile Technology,GPRS,mobile_technology__gprs.md,Pending,
Unit 9: Data Communication and Computer Networks,Mobile Technology,SMS,mobile_technology__sms.md,Pending,
Unit 9: Data Communication and Computer Networks,Cloud & IoT,"Cloud Models - SaaS, PaaS, IaaS","cloud_&_iot__cloud_models_-_saas,_paas,_iaas.md",Pending,
Unit 9: Data Communication and Computer Networks,Cloud & IoT,Public vs Private Cloud,cloud_&_iot__public_vs_private_cloud.md,Pending,
Unit 9: Data Communication and Computer Networks,Cloud & IoT,Virtualization,cloud_&_iot__virtualization.md,Pending,
Unit 9: Data Communication and Computer Networks,Cloud & IoT,Virtual Server,cloud_&_iot__virtual_server.md,Pending,
Unit 9: Data Communication and Computer Networks,Cloud & IoT,Cloud Storage,cloud_&_iot__cloud_storage.md,Pending,
Unit 9: Data Communication and Computer Networks,Cloud & IoT,Database Storage,cloud_&_iot__database_storage.md,Pending,
Unit 9: Data Communication and Computer Networks,Cloud & IoT,Resource Management,cloud_&_iot__resource_management.md,Pending,
Unit 9: Data Communication and Computer Networks,Cloud & IoT,Service Level Agreements,cloud_&_iot__service_level_agreements.md,Pending,
Unit 9: Data Communication and Computer Networks,Cloud & IoT,Basics of IoT,cloud_&_iot__basics_of_iot.md,Pending,
Unit 10: Artificial Intelligence,Approaches to AI,Turing Test,approaches_to_ai__turing_test.md,Pending,
Unit 10: Artificial Intelligence,Approaches to AI,Rational Agent Approach,approaches_to_ai__rational_agent_approach.md,Pending,
Unit 10: Artificial Intelligence,Approaches to AI,State Space Representation,approaches_to_ai__state_space_representation.md,Pending,
Unit 10: Artificial Intelligence,Approaches to AI,Heuristic Search Techniques,approaches_to_ai__heuristic_search_techniques.md,Pending,
Unit 10: Artificial Intelligence,Approaches to AI,Game Playing,approaches_to_ai__game_playing.md,Pending,
Unit 10: Artificial Intelligence,Approaches to AI,Min-Max Search,approaches_to_ai__min-max_search.md,Pending,
Unit 10: Artificial Intelligence,Approaches to AI,Alpha-Beta Pruning,approaches_to_ai__alpha-beta_pruning.md,Pending,
Unit 10: Artificial Intelligence,Knowledge Representation,Propositional and Predicate Logic,knowledge_representation__propositional_and_predicate_logic.md,Pending,
Unit 10: Artificial Intelligence,Knowledge Representation,Semantic Networks,knowledge_representation__semantic_networks.md,Pending,
Unit 10: Artificial Intelligence,Knowledge Representation,Frames,knowledge_representation__frames.md,Pending,
Unit 10: Artificial Intelligence,Knowledge Representation,Rules and Scripts,knowledge_representation__rules_and_scripts.md,Pending,
Unit 10: Artificial Intelligence,Knowledge Representation,Conceptual Dependency,knowledge_representation__conceptual_dependency.md,Pending,
Unit 10: Artificial Intelligence,Knowledge Representation,Ontologies,knowledge_representation__ontologies.md,Pending,
Unit 10: Artificial Intelligence,Knowledge Representation,Expert Systems,knowledge_representation__expert_systems.md,Pending,
Unit 10: Artificial Intelligence,Knowledge Representation,Handling Uncertainty,knowledge_representation__handling_uncertainty.md,Pending,
Unit 10: Artificial Intelligence,Planning,Planning System Components,planning__planning_system_components.md,Pending,
Unit 10: Artificial Intelligence,Planning,Linear Planning,planning__linear_planning.md,Pending,
Unit 10: Artificial Intelligence,Planning,Non-Linear Planning,planning__non-linear_planning.md,Pending,
Unit 10: Artificial Intelligence,Planning,Goal Stack Planning,planning__goal_stack_planning.md,Pending,
Unit 10: Artificial Intelligence,Planning,Hierarchical Planning,planning__hierarchical_planning.md,Pending,
Unit 10: Artificial Intelligence,Planning,STRIPS,planning__strips.md,Pending,
Unit 10: Artificial Intelligence,Planning,Partial Order Planning,planning__partial_order_planning.md,Pending,
Unit 10: Artificial Intelligence,Natural Language Processing,Grammar and Language,natural_language_processing__grammar_and_language.md,Pending,
Unit 10: Artificial Intelligence,Natural Language Processing,Parsing Techniques,natural_language_processing__parsing_techniques.md,Pending,
Unit 10: Artificial Intelligence,Natural Language Processing,Semantic Analysis,natural_language_processing__semantic_analysis.md,Pending,
Unit 10: Artificial Intelligence,Natural Language Processing,Pragmatics,natural_language_processing__pragmatics.md,Pending,
Unit 10: Artificial Intelligence,Multi Agent Systems,Agents vs Objects,multi_agent_systems__agents_vs_objects.md,Pending,
Unit 10: Artificial Intelligence,Multi Agent Systems,Agents and Expert Systems,multi_agent_systems__agents_and_expert_systems.md,Pending,
Unit 10: Artificial Intelligence,Multi Agent Systems,Structure of Multiagent Systems,multi_agent_systems__structure_of_multiagent_systems.md,Pending,
Unit 10: Artificial Intelligence,Multi Agent Systems,Semantic Web,multi_agent_systems__semantic_web.md,Pending,
Unit 10: Artificial Intelligence,Multi Agent Systems,Agent Communication,multi_agent_systems__agent_communication.md,Pending,
Unit 10: Artificial Intelligence,Multi Agent Systems,Knowledge Sharing via Ontologies,multi_agent_systems__knowledge_sharing_via_ontologies.md,Pending,
Unit 10: Artificial Intelligence,Multi Agent Systems,Agent Development Tools,multi_agent_systems__agent_development_tools.md,Pending,
Unit 10: Artificial Intelligence,Fuzzy Sets,Fuzziness and Membership Functions,fuzzy_sets__fuzziness_and_membership_functions.md,Pending,
Unit 10: Artificial Intelligence,Fuzzy Sets,Fuzzification and Defuzzification,fuzzy_sets__fuzzification_and_defuzzification.md,Pending,
Unit 10: Artificial Intelligence,Fuzzy Sets,Operations on Fuzzy Sets,fuzzy_sets__operations_on_fuzzy_sets.md,Pending,
Unit 10: Artificial Intelligence,Fuzzy Sets,Fuzzy Functions,fuzzy_sets__fuzzy_functions.md,Pending,
Unit 10: Artificial Intelligence,Fuzzy Sets,Linguistic Variables,fuzzy_sets__linguistic_variables.md,Pending,
Unit 10: Artificial Intelligence,Fuzzy Sets,Fuzzy Relations,fuzzy_sets__fuzzy_relations.md,Pending,
Unit 10: Artificial Intelligence,Fuzzy Sets,Fuzzy Rules and Inference,fuzzy_sets__fuzzy_rules_and_inference.md,Pending,
Unit 10: Artificial Intelligence,Fuzzy Sets,Fuzzy Control Systems,fuzzy_sets__fuzzy_control_systems.md,Pending,
Unit 10: Artificial Intelligence,Genetic Algorithms,Encoding Strategies,genetic_algorithms__encoding_strategies.md,Pending,
Unit 10: Artificial Intelligence,Genetic Algorithms,Genetic Operators,genetic_algorithms__genetic_operators.md,Pending,
Unit 10: Artificial Intelligence,Genetic Algorithms,Fitness Functions,genetic_algorithms__fitness_functions.md,Pending,
Unit 10: Artificial Intelligence,Genetic Algorithms,GA Cycle,genetic_algorithms__ga_cycle.md,Pending,
Unit 10: Artificial Intelligence,Genetic Algorithms,Problem Solving using GA,genetic_algorithms__problem_solving_using_ga.md,Pending,
Unit 10: Artificial Intelligence,Artificial Neural Networks,Supervised Learning,artificial_neural_networks__supervised_learning.md,Pending,
Unit 10: Artificial Intelligence,Artificial Neural Networks,Unsupervised Learning,artificial_neural_networks__unsupervised_learning.md,Pending,
Unit 10: Artificial Intelligence,Artificial Neural Networks,Reinforcement Learning,artificial_neural_networks__reinforcement_learning.md,Pending,
Unit 10: Artificial Intelligence,Artificial Neural Networks,Single Perceptron,artificial_neural_networks__single_perceptron.md,Pending,
Unit 10: Artificial Intelligence,Artificial Neural Networks,Multi-Layer Perceptron,artificial_neural_networks__multi-layer_perceptron.md,Pending,
Unit 10: Artificial Intelligence,Artificial Neural Networks,Self-Organizing Maps,artificial_neural_networks__self-organizing_maps.md,Pending,
Unit 10: Artificial Intelligence,Artificial Neural Networks,Hopfield Network,artificial_neural_networks__hopfield_network.md,Pending,
